@RELATION TrainingDataset

@ATTRIBUTE code_module {AAA,BBB,CCC,DDD,EEE,FFF,GGG}
@ATTRIBUTE code_presentation {2013B,2013J,2014B}
@ATTRIBUTE id_student REAL
@ATTRIBUTE gender {F,M}
@ATTRIBUTE region {East_Anglian_Region,East_Midlands_Region,Ireland,London_Region,North_Region,North_Western_Region,Scotland,South_East_Region,South_Region,South_West_Region,Wales,West_Midlands_Region,Yorkshire_Region}
@ATTRIBUTE highest_education {A_Level_or_Equivalent,HE_Qualification,Lower_Than_A_Level,No_Formal_quals,Post_Graduate_Qualification}
@ATTRIBUTE course_length_in_percent {0-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90,90-100}
@ATTRIBUTE age_band {0-35,35-55,above_55}
@ATTRIBUTE num_of_prev_attempts REAL
@ATTRIBUTE studied_credits REAL
@ATTRIBUTE disability {N,Y}
@ATTRIBUTE final_result {Distinction,Fail,Pass,Withdrawn}

@DATA
AAA,2013J,11391,M,East_Anglian_Region,HE_Qualification,90-100,above_55,0,240,N,Pass
AAA,2013J,28400,F,Scotland,HE_Qualification,20-30,35-55,0,60,N,Pass
AAA,2013J,30268,F,North_Western_Region,A_Level_or_Equivalent,30-40,35-55,0,60,Y,Withdrawn
AAA,2013J,31604,F,South_East_Region,A_Level_or_Equivalent,50-60,35-55,0,60,N,Pass
AAA,2013J,32885,F,West_Midlands_Region,Lower_Than_A_Level,50-60,0-35,0,60,N,Pass
AAA,2013J,38053,M,Wales,A_Level_or_Equivalent,80-90,35-55,0,60,N,Pass
AAA,2013J,45462,M,Scotland,HE_Qualification,30-40,0-35,0,60,N,Pass
AAA,2013J,45642,F,North_Western_Region,A_Level_or_Equivalent,90-100,0-35,0,120,N,Pass
AAA,2013J,52130,F,East_Anglian_Region,A_Level_or_Equivalent,70-80,0-35,0,90,N,Pass
AAA,2013J,57506,M,South_Region,Lower_Than_A_Level,70-80,35-55,0,60,N,Pass
AAA,2013J,58873,F,East_Anglian_Region,A_Level_or_Equivalent,20-30,0-35,0,60,N,Pass
AAA,2013J,59185,M,East_Anglian_Region,Lower_Than_A_Level,60-70,35-55,0,60,N,Pass
AAA,2013J,62155,F,North_Western_Region,HE_Qualification,50-60,0-35,0,60,N,Pass
AAA,2013J,63400,M,Scotland,Lower_Than_A_Level,40-50,35-55,0,60,N,Pass
AAA,2013J,65002,F,East_Anglian_Region,A_Level_or_Equivalent,70-80,0-35,0,60,N,Withdrawn
AAA,2013J,70464,F,West_Midlands_Region,A_Level_or_Equivalent,60-70,35-55,0,60,N,Pass
AAA,2013J,74372,M,East_Anglian_Region,A_Level_or_Equivalent,10-20,35-55,0,150,N,Fail
